row_id,model,sale_price,predicted_price,residual,absolute_residual,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,ADDRESS,ZIP CODE
884,least_squares,1400000.0,315551974.2267711,-314151974.2267711,314151974.2267711,1,UPPER WEST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,211 CENTRAL PARK WEST,10024
107,least_squares,3288000.0,311212609.03396016,-307924609.03396016,307924609.03396016,1,FINANCIAL,21 OFFICE BUILDINGS                        ,88 PINE STREET,10005
109,least_squares,54052917.0,283244081.03743756,-229191164.03743756,229191164.03743756,1,FINANCIAL,21 OFFICE BUILDINGS                        ,80 MAIDEN LANE,10038
16731,least_squares,525000.0,208427514.65089646,-207902514.65089646,207902514.65089646,4,GLEN OAKS,10 COOPS - ELEVATOR APARTMENTS             ,26910 GRAND CENTRAL PARKWA,11005
506,least_squares,5300000.0,180840722.98583165,-175540722.98583165,175540722.98583165,1,JAVITS CENTER,23 LOFT BUILDINGS                          ,516-520 WEST 34TH   STREET,10001
27124,least_squares,1450000.0,173458836.1481813,-172008836.1481813,172008836.1481813,5,ROSSVILLE,22 STORE BUILDINGS                         ,351 VETERANS ROAD WEST,10309
1590,least_squares,25000000.0,191629263.20809475,-166629263.20809475,166629263.20809475,2,BRONXDALE,32 HOSPITAL AND HEALTH FACILITIES          ,612 ALLERTON AVENUE,10467
6312,least_squares,5250000.0,170602282.77635872,-165352282.77635872,165352282.77635872,3,BROWNSVILLE,22 STORE BUILDINGS                         ,489 ROCKAWAY AVENUE,11212
7833,least_squares,52962546.0,214172344.19111618,-161209798.19111618,161209798.19111618,3,DOWNTOWN-FULTON MALL,29 COMMERCIAL GARAGES                      ,15 HOYT STREET,11201
18490,least_squares,257500000.0,390300219.03481704,-132800219.03481704,132800219.03481704,4,LONG ISLAND CITY,27 FACTORIES                               ,31-00 47TH   AVENUE,11101
574,least_squares,7500000.0,140262632.45502135,-132762632.45502135,132762632.45502135,1,MIDTOWN CBD,22 STORE BUILDINGS                         ,141 EAST 45TH   STREET,10017
572,least_squares,15250000.0,141195436.07761276,-125945436.07761276,125945436.07761276,1,MIDTOWN CBD,22 STORE BUILDINGS                         ,7 EAST 53RD   STREET,10022
7843,least_squares,135000000.0,259600289.26804087,-124600289.26804087,124600289.26804087,3,DOWNTOWN-METROTECH,26 OTHER HOTELS                            ,90 SANDS STREET,11201
567,least_squares,90000000.0,209543479.15794054,-119543479.15794054,119543479.15794054,1,MIDTOWN CBD,21 OFFICE BUILDINGS                        ,292 MADISON AVENUE,10017
566,least_squares,90000000.0,209543479.15794054,-119543479.15794054,119543479.15794054,1,MIDTOWN CBD,21 OFFICE BUILDINGS                        ,292 MADISON AVENUE,10017
17912,least_squares,3100000.0,122609998.33920252,-119509998.33920252,119509998.33920252,4,JAMAICA,22 STORE BUILDINGS                         ,89-71 164TH STREET,11432
568,least_squares,30000000.0,146303898.14425948,-116303898.14425948,116303898.14425948,1,MIDTOWN CBD,21 OFFICE BUILDINGS                        ,11 EAST 51ST   STREET,10022
28378,least_squares,11693337.0,127391758.20861503,-115698421.20861503,115698421.20861503,5,WOODROW,22 STORE BUILDINGS                         ,2730 ARTHUR KILL ROAD,10309
108,least_squares,1040000000.0,1152242594.4326332,-112242594.43263316,112242594.43263316,1,FINANCIAL,21 OFFICE BUILDINGS                        ,60 WALL STREET,10005
